block,plot,transect,subtransect,date,species,cover_start_m,cover_end_m,avg_height_cm,cover_length,species_name,condition,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,G,0,0.25,25,0.25,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,0.25,0.5,25,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,0.5,3.25,0,2.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,DWD,3.25,4,25,0.75,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,4,7,0,3,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,G,7,7.75,25,0.75,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,L,7.75,8,0,0.25,Litter,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,8,8.25,0,0.25,Ceanothus cordulatus,DEAD,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,G,8.25,8.75,25,0.5,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,L,8.75,9,0,0.25,Litter,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,9,9.5,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,9.5,10,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,10,10.25,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,10.25,11.75,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,11.75,12,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,12,12.75,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,12.75,14.25,0,1.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,DWD,14.25,14.5,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CEPR,14.5,15,0,0.5,Ceanothus prostratus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,15,15.5,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,G,15.5,15.75,0,0.25,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,15.75,16.25,0,0.5,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,16.25,17.75,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,17.75,18,0,0.25,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,18,19.5,0,1.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,DWD,19.5,19.75,0,0.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,19.75,21.75,0,2,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,21.75,22.25,0,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,22.25,22.75,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,22.75,24.5,25,1.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,24.5,25,0,0.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,25,25.25,75,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,25.25,25.5,0,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,25.5,26.25,50,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,26.25,26.75,25,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,BG,26.75,27.5,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,DWD,27.5,28.75,0,1.25,Down woody debris,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,CECO,28.75,29.5,25,0.75,Ceanothus cordulatus,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,F,29.5,30,25,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,0,0.75,0,0.75,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,G,0.75,1.5,0,0.75,Grass,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,1.5,2,25,0.5,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,F,2,2.25,25,0.25,Forb,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,2.25,3,0,0.75,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,CECO,3,3.75,100,0.75,Ceanothus cordulatus,DEAD,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,BG,3.75,6.25,0,2.5,Bare ground,LIVE,
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,CECO,6.25,7.5,25,1.25,Ceanothus cordulatus,LIVE,
