block,plot,transect,subtransect,date,location_m,litter_cm,duff_cm,fuel_cm
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,7,1,0,1
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,13,6,0,10
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,17,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:1,2019-07-30,27,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,7,3,0,3
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,17,1,0,1
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:2,2019-07-30,27,0,0,4
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,7,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,13,1,0,1
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,17,0,0,40
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:M,E1:CG:M:3,2019-07-30,27,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,7,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,17,0,0,1
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:1,2019-07-30,27,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,3,1,0,9
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,7,2,0,2
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,17,0,0,2
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:2,2019-07-30,27,2,0,2
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,7,0,0,0
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,13,1,0,1
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,17,0,1,0
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,23,2,2,20
E1,E1:CG,E1:CG:N,E1:CG:N:3,2019-07-30,27,1,1,20
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,3,0,0,15
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,7,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,17,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:1,2019-07-30,27,0,2,2
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,7,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,17,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:2,2019-07-30,27,0,1,1
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,3,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,7,1,0,1
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,13,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,17,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,23,0,0,0
E1,E1:CG,E1:CG:S,E1:CG:S:3,2019-07-30,27,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,3,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,7,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,13,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,17,1,0,14
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,23,0,0,15
E1,E1:CH,E1:CH:M,E1:CH:M:1,2019-07-29,27,1,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,3,1,0,1
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,7,2,0,2
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,13,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,17,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,23,1,0,1
E1,E1:CH,E1:CH:M,E1:CH:M:2,2019-07-29,27,2,0,2
E1,E1:CH,E1:CH:M,E1:CH:M:3,2019-07-29,3,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:3,2019-07-29,7,0,0,8
E1,E1:CH,E1:CH:M,E1:CH:M:3,2019-07-29,13,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:3,2019-07-29,17,0,0,0
E1,E1:CH,E1:CH:M,E1:CH:M:3,2019-07-29,23,5,0,36
