"block","plot","transect","subtransect","date","species","cover_start_m","cover_end_m","avg_height_m","cover_length","species_name"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27","CECO",30,6.25,1.25,23.75,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27","DWD",6.25,4.5,0.25,1.75,"Down woody debris"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27","CECO",4.5,-1.75,1.25,6.25,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","CECO",30,20.5,1.5,9.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","POAZ",20.5,20,0.5,0.5,"Poaceae spp"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","CECO",20,16.5,0.75,3.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","POAZ",16.5,14.5,0.75,2,"Poaceae spp"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","CECO",14.5,-0.5,1.5,15,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27","DWD",-0.5,-0.75,0,0.25,"Down woody debris"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","CECO",30,29.5,0.25,0.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","POAZ",29.5,28.25,0.25,1.25,"Poaceae spp"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","CECO",28.25,4,1,24.25,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","POAZ",4,2.75,0.5,1.25,"Poaceae spp"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27","CECO",2.75,-0.25,1,3,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27","POAZ",30,23,0,7,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27","CECO",23,5.25,1,17.75,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27","POAZ",5.25,3.25,0,2,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27","CECO",3.25,0,0.25,3.25,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","SYMO",30,29.5,0.25,0.5,"Symphoricarpos mollis"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",29.5,25,1.25,4.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","BG",25,24.75,0,0.25,"Bare ground"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","POAZ",24.75,24.5,1,0.25,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",24.5,16.25,1,8.25,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","POAZ",16.25,15.25,0,1,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",15.25,15,0.25,0.25,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","ARPA",15,14.25,1,0.75,"Arctostaphylos patula"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",14.25,13.75,0.25,0.5,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","ARPA",13.75,12.75,0.75,1,"Arctostaphylos patula"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",12.75,7,1,5.75,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","BG",7,6.75,0,0.25,"Bare ground"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","CECO",6.75,4,1,2.75,"Ceanothus cordulatus"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","POAZ",4,3.75,0,0.25,"Poaceae spp"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27","SALIX",3.75,0.25,1.75,3.5,"Salix spp"
