"block","plot","transect","subtransect","date","slope","diameter_cm","decay_class"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,16,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:1","2017-06-27",23,9,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,22,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,14,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,11,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,11,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,23,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,8,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,12,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,25,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:2","2017-06-27",24,20,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,20,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,5,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,14,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,5,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,10,"S"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,15,"R"
"E1","E1:CG","E1:CG:M","E1:CG:M:3","2017-06-27",NA,25,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,17,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,15,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,8,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,14,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,8,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,10,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,11,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,8,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,20,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,15,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,12,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:1","2017-06-27",24,10,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,8,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,10,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,14,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,16,"S"
"E1","E1:CG","E1:CG:N","E1:CG:N:2","2017-06-27",30,11,"S"
