"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2","litter_mgha","duff_mgha","x1h_mgha","x10h_mgha","x100h_mgha","x1000h_mgha","fines_mgha","total_mgha","treatment","planting","followup"
"1","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:13","post",2019-07-30,23,3,0,5,31,12,4,64,820,10.89,0,0.937984422590958,3.76923930265997,9.93919886840394,17.5839284171514,25.5364225936549,43.1203510108062,"CG","C","G"
"2","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:13","pre",2017-06-27,23,2.5,0,21.5,6,6,2,0,337,9.075,0,0.181545372114379,1.88461965132998,4.96959943420197,6.81891690821811,16.1107644576463,22.9296813658644,"CG","C","G"
"3","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:23","post",2019-07-30,23,0,0,0,1,3,4,64,820,0,0,0.0302575620190632,0.942309825664992,9.93919886840394,17.5839284171514,10.911766256088,28.4956946732394,"CG","C","G"
"4","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:23","pre",2017-06-27,23,3.5,0,15,2,2,0,0,337,12.705,0,0.0605151240381263,0.628206550443328,0,6.81891690821811,13.3937216744815,20.2126385826996,"CG","C","G"
"5","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:3","post",2019-07-30,23,0.5,0,0.5,11,10,2,64,820,1.815,0,0.332833182209695,3.14103275221664,4.96959943420197,17.5839284171514,10.2584653686283,27.8423937857797,"CG","C","G"
"6","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:3","pre",2017-06-27,23,1.5,0,27.5,2,5,0,0,337,5.445,0,0.0605151240381263,1.57051637610832,0,6.81891690821811,7.07603150014645,13.8949484083646,"CG","C","G"
"7","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:13","post",2019-07-30,24,0.5,0,0.5,0,2,0,0,323,1.815,0,0,0.629607102800553,0,6.55020931168804,2.44460710280055,8.9948164144886,"CG","C","G"
"8","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:13","pre",2017-06-27,24,1.5,0,3,0,0,1,0,2684,5.445,0,0,0,2.49033944300572,54.4296030729743,7.93533944300572,62.3649425159801,"CG","C","G"
"9","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:23","post",2019-07-30,24,0,0,2,6,7,0,0,323,0,0,0.181950117653372,2.20362485980194,0,6.55020931168804,2.38557497745531,8.93578428914335,"CG","C","G"
"10","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:23","pre",2017-06-27,24,5,0,12,0,2,2,0,2684,18.15,0,0,0.629607102800553,4.98067888601145,54.4296030729743,23.760285988812,78.1898890617863,"CG","C","G"
"11","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:3","post",2019-07-30,24,1.5,0,1.5,2,3,1,0,323,5.445,0,0.0606500392177906,0.944410654200829,2.49033944300572,6.55020931168804,8.94040013642434,15.4906094481124,"CG","C","G"
"12","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:3","pre",2017-06-27,24,1.5,0,15.5,0,0,0,0,2684,5.445,0,0,0,0,54.4296030729743,5.445,59.8746030729743,"CG","C","G"
"13","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:13","post",2019-07-30,11.4828897338403,0.5,0,20.5,43,11,1,473,196,1.815,0,1.27630169335201,3.38934757579005,2.43748721630625,11.0815989320089,8.91813648544831,19.9997354174573,"CG","C","G"
"14","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:13","pre",2017-06-27,11.4828897338403,3,0,17.5,0,4,3,225,1371,10.89,0,0,1.23249002756002,7.31246164891875,30.6336105842657,19.4349516764788,50.0685622607445,"CG","C","G"
"15","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:23","post",2019-07-30,11.4828897338403,0,0,0,225,10,0,473,196,0,0,6.67832281405121,3.08122506890005,0,11.0815989320089,9.75954788295126,20.8411468149602,"CG","C","G"
"16","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:23","pre",2017-06-27,11.4828897338403,2.5,0,5,0,1,3,225,1371,9.075,0,0,0.308122506890005,7.31246164891875,30.6336105842657,16.6955841558088,47.3291947400745,"CG","C","G"
"17","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:3","post",2019-07-30,11.4828897338403,0,0,0,16,8,1,473,196,0,0,0.474902955665864,2.46498005512004,2.43748721630625,11.0815989320089,5.37737022709215,16.4589691591011,"CG","C","G"
"18","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:3","pre",2017-06-27,11.4828897338403,2.5,0,10.5,3,0,0,225,1371,9.075,0,0.0890443041873495,0,0,30.6336105842657,9.16404430418735,39.7976548884531,"CG","C","G"
