"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"1","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:13","post",2019-07-30,23,3,0,5,31,12,4,64,820
"2","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:13","pre",2017-06-27,23,2.5,0,21.5,6,6,2,0,337
"3","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:23","post",2019-07-30,23,0,0,0,1,3,4,64,820
"4","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:23","pre",2017-06-27,23,3.5,0,15,2,2,0,0,337
"5","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:3","post",2019-07-30,23,0.5,0,0.5,11,10,2,64,820
"6","E1","E1:CG","E1:CG:M","E1:CG:M:1","E1:CG:M:1:3","pre",2017-06-27,23,1.5,0,27.5,2,5,0,0,337
"7","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:13","post",2019-07-30,24,0.5,0,0.5,0,2,0,0,323
"8","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:13","pre",2017-06-27,24,1.5,0,3,0,0,1,0,2684
"9","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:23","post",2019-07-30,24,0,0,2,6,7,0,0,323
"10","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:23","pre",2017-06-27,24,5,0,12,0,2,2,0,2684
"11","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:3","post",2019-07-30,24,1.5,0,1.5,2,3,1,0,323
"12","E1","E1:CG","E1:CG:M","E1:CG:M:2","E1:CG:M:2:3","pre",2017-06-27,24,1.5,0,15.5,0,0,0,0,2684
"13","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:13","post",2019-07-30,11.4828897338403,0.5,0,20.5,43,11,1,473,196
"14","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:13","pre",2017-06-27,11.4828897338403,3,0,17.5,0,4,3,225,1371
"15","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:23","post",2019-07-30,11.4828897338403,0,0,0,225,10,0,473,196
"16","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:23","pre",2017-06-27,11.4828897338403,2.5,0,5,0,1,3,225,1371
"17","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:3","post",2019-07-30,11.4828897338403,0,0,0,16,8,1,473,196
"18","E1","E1:CG","E1:CG:M","E1:CG:M:3","E1:CG:M:3:3","pre",2017-06-27,11.4828897338403,2.5,0,10.5,3,0,0,225,1371
"19","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:13","post",2019-07-30,24,0,0,0.5,3,3,0,0,225
"20","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:13","pre",2017-06-27,24,4.5,1,6.5,0,1,2,0,1992
"21","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:23","post",2019-07-30,24,0,0,0,1,3,0,0,225
"22","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:23","pre",2017-06-27,24,2,0,2,2,0,1,0,1992
"23","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:3","post",2019-07-30,24,0,0,0,0,7,1,0,225
"24","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:3","pre",2017-06-27,24,0.75,0,0.75,0,3,2,0,1992
"25","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:13","post",2019-07-30,30,0,0,1,3,1,0,0,394
"26","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:13","pre",2017-06-27,30,2.25,0,5,2,6,3,0,1778
"27","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:23","post",2019-07-30,30,1,0,1,4,1,1,0,394
"28","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:23","pre",2017-06-27,30,3.25,0,8,1,2,3,0,1778
"29","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:3","post",2019-07-30,30,1.5,0,5.5,37,6,2,0,394
"30","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:3","pre",2017-06-27,30,3.25,1,5,0,3,5,0,1778
"31","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:13","post",2019-07-30,24,0.5,0.5,0.5,33,5,1,0,1210
