"subtransect","subsubtransect","time","treatment","planting","followup","block","plot","transect","litterduff_mgha","fwd_mgha","cwd_mgha","total_mgha","high_fwd","p_highshrubs","high_shrub_fuels","high_intensity_fuels","x","y"
"E1:EH:M:1","E1:EH:M:1:3","post","EH","E","H","E1","E1:EH","E1:EH:M",0,7.07428105857947,5.30873898158153,12.383020040161,FALSE,0.55,TRUE,TRUE,698484.855530323,4457124.14493455
"E1:EH:M:1","E1:EH:M:1:3","pre","EH","E","H","E1","E1:EH","E1:EH:M",21.13,8.55497836885091,37.1746095275139,66.8595878963648,FALSE,0.95,TRUE,TRUE,698484.855530323,4457124.14493455
"E1:EH:M:1","E1:EH:M:1:13","post","EH","E","H","E1","E1:EH","E1:EH:M",1.815,0.472179915243021,5.30873898158153,7.59591889682455,FALSE,0.125,FALSE,FALSE,698494.823072362,4457124.3777787
"E1:EH:M:1","E1:EH:M:1:13","pre","EH","E","H","E1","E1:EH","E1:EH:M",5.445,0.306355766903574,37.1746095275139,42.9259652944174,FALSE,0.975,TRUE,TRUE,698494.823072362,4457124.3777787
"E1:EH:M:1","E1:EH:M:1:23","post","EH","E","H","E1","E1:EH","E1:EH:M",1.815,3.37693804088863,5.30873898158153,10.5006770224702,FALSE,0,FALSE,FALSE,698504.7906144,4457124.61062286
"E1:EH:M:1","E1:EH:M:1:23","pre","EH","E","H","E1","E1:EH","E1:EH:M",5.445,6.07244494216845,37.1746095275139,48.6920544696823,FALSE,0.95,TRUE,TRUE,698504.7906144,4457124.61062286
"E1:EH:M:2","E1:EH:M:2:3","post","EH","E","H","E1","E1:EH","E1:EH:M",5.445,6.91243491763433,1.59798352756366,13.955418445198,FALSE,0,FALSE,FALSE,698514.758156439,4457124.84346701
"E1:EH:M:2","E1:EH:M:2:3","pre","EH","E","H","E1","E1:EH","E1:EH:M",16.01,0.67149925084784,30.4955868780024,47.1770861288502,FALSE,0.925,TRUE,TRUE,698514.758156439,4457124.84346701
"E1:EH:M:2","E1:EH:M:2:13","post","EH","E","H","E1","E1:EH","E1:EH:M",1.815,5.27442711129348,1.59798352756366,8.68741063885714,FALSE,0,FALSE,FALSE,698524.725698478,4457125.07631117
"E1:EH:M:2","E1:EH:M:2:13","pre","EH","E","H","E1","E1:EH","E1:EH:M",14.195,0.118003721858067,30.4955868780024,44.8085905998605,FALSE,0.8,TRUE,TRUE,698524.725698478,4457125.07631117
"E1:EH:M:2","E1:EH:M:2:23","post","EH","E","H","E1","E1:EH","E1:EH:M",0,0.819003903170424,1.59798352756366,2.41698743073409,FALSE,0,FALSE,FALSE,698534.693240516,4457125.30915532
"E1:EH:M:2","E1:EH:M:2:23","pre","EH","E","H","E1","E1:EH","E1:EH:M",5.445,4.84532783085851,30.4955868780024,40.7859147088609,FALSE,0.725,TRUE,TRUE,698534.693240516,4457125.30915532
"E1:EH:M:3","E1:EH:M:3:3","post","EH","E","H","E1","E1:EH","E1:EH:M",1.815,0.905886666418569,28.4801572096227,31.2010438760412,FALSE,0,FALSE,FALSE,698544.660782555,4457125.54199948
"E1:EH:M:3","E1:EH:M:3:3","pre","EH","E","H","E1","E1:EH","E1:EH:M",3.63,0,24.0136132635046,27.6436132635046,FALSE,0.65,TRUE,TRUE,698544.660782555,4457125.54199948
"E1:EH:M:3","E1:EH:M:3:13","post","EH","E","H","E1","E1:EH","E1:EH:M",3.63,2.44866562441202,28.4801572096227,34.5588228340347,FALSE,0,FALSE,FALSE,698554.628324593,4457125.77484364
"E1:EH:M:3","E1:EH:M:3:13","pre","EH","E","H","E1","E1:EH","E1:EH:M",0.9075,0.958424259813034,24.0136132635046,25.8795375233176,FALSE,0.5,TRUE,TRUE,698554.628324593,4457125.77484364
"E1:EH:M:3","E1:EH:M:3:23","post","EH","E","H","E1","E1:EH","E1:EH:M",10.89,2.58419474679817,28.4801572096227,41.9543519564209,FALSE,0,FALSE,FALSE,698564.595866632,4457126.00768779
"E1:EH:M:3","E1:EH:M:3:23","pre","EH","E","H","E1","E1:EH","E1:EH:M",16.755,2.44866562441202,24.0136132635046,43.2172788879166,FALSE,1,TRUE,TRUE,698564.595866632,4457126.00768779
"E1:EH:N:2","E1:EH:N:2:3","post","EH","E","H","E1","E1:EH","E1:EH:N",3.63,4.27569641544252,39.9898007776982,47.8954971931407,FALSE,0.65,TRUE,TRUE,698514.232723966,4457147.33733108
"E1:EH:N:2","E1:EH:N:2:3","pre","EH","E","H","E1","E1:EH","E1:EH:N",7.26,13.5718591661738,21.2699088664376,42.1017680326114,FALSE,0.575,TRUE,TRUE,698514.232723966,4457147.33733108
"E1:EH:N:2","E1:EH:N:2:13","post","EH","E","H","E1","E1:EH","E1:EH:N",0,1.0388193762313,39.9898007776982,41.0286201539295,FALSE,0,FALSE,FALSE,698524.200243173,4457147.5701747
"E1:EH:N:2","E1:EH:N:2:13","pre","EH","E","H","E1","E1:EH","E1:EH:N",3.63,0.336419851912728,21.2699088664376,25.2363287183503,FALSE,0.6,TRUE,TRUE,698524.200243173,4457147.5701747
"E1:EH:N:2","E1:EH:N:2:23","post","EH","E","H","E1","E1:EH","E1:EH:N",0,18.2845476014957,39.9898007776982,58.2743483791939,FALSE,0,FALSE,FALSE,698534.167762381,4457147.80301833
"E1:EH:N:2","E1:EH:N:2:23","pre","EH","E","H","E1","E1:EH","E1:EH:N",10.89,7.95533988205162,21.2699088664376,40.1152487484892,FALSE,0.95,TRUE,TRUE,698534.167762381,4457147.80301833
"E1:EH:N:3","E1:EH:N:3:3","post","EH","E","H","E1","E1:EH","E1:EH:N",0,4.63227159535815,6.26226617551948,10.8945377708776,FALSE,0.25,FALSE,FALSE,698544.135281588,4457148.03586195
"E1:EH:N:3","E1:EH:N:3:3","pre","EH","E","H","E1","E1:EH","E1:EH:N",1.815,0.306661480747635,1.97547828880741,4.09713976955504,FALSE,0.35,FALSE,FALSE,698544.135281588,4457148.03586195
"E1:EH:N:3","E1:EH:N:3:13","post","EH","E","H","E1","E1:EH","E1:EH:N",8.75,5.79012933693292,6.26226617551948,20.8023955124524,FALSE,0.05,FALSE,FALSE,698554.102800795,4457148.26870557
"E1:EH:N:3","E1:EH:N:3:13","pre","EH","E","H","E1","E1:EH","E1:EH:N",2.7225,3.37545450646233,1.97547828880741,8.07343279526974,FALSE,0.75,TRUE,TRUE,698554.102800795,4457148.26870557
"E1:EH:N:3","E1:EH:N:3:23","post","EH","E","H","E1","E1:EH","E1:EH:N",3.63,16.6732963635675,6.26226617551948,26.565562539087,FALSE,0.05,FALSE,FALSE,698564.070320003,4457148.50154919
"E1:EH:N:3","E1:EH:N:3:23","pre","EH","E","H","E1","E1:EH","E1:EH:N",3.63,2.42592937010845,1.97547828880741,8.03140765891586,FALSE,0.95,TRUE,TRUE,698564.070320003,4457148.50154919
"E1:EH:S:3","E1:EH:S:3:3","post","EH","E","H","E1","E1:EH","E1:EH:S",1.815,2.14790509541798,0,3.96290509541798,FALSE,0,FALSE,FALSE,698545.186283523,4457103.04813701
"E1:EH:S:3","E1:EH:S:3:3","pre","EH","E","H","E1","E1:EH","E1:EH:S",12.38,2.50452496671238,57.4979277909696,72.382452757682,FALSE,0.9,TRUE,TRUE,698545.186283523,4457103.04813701
"E1:EH:S:3","E1:EH:S:3:13","post","EH","E","H","E1","E1:EH","E1:EH:S",3.63,4.23777022041005,0,7.86777022041005,FALSE,0,FALSE,FALSE,698555.153848393,4457103.2809817
