"","time","treatment","planting","followup","block","plot","transect","patch_id","cover_type","avg_height_cm","cover_length","fire_type"
"1","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00001","fuel",0,0.5,"low"
"2","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00002","grass",0,0.25,"low"
"3","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00003","fuel",0,0.75,"low"
"4","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00004","bare",0,3,"none"
"5","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00005","fuel",0,0.25,"low"
"6","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00006","grass",0,1.25,"low"
"7","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00007","fuel",0,0.5,"low"
"8","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00008","grass",0,0.5,"low"
"9","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00009","bare",0,2.5,"none"
"10","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00010","grass",0,1,"low"
"11","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00011","bare",0,0.25,"none"
"12","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00012","shrub",0,1,"low"
"13","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00013","bare",0,1.5,"none"
"14","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00014","shrub",25,1,"high"
"15","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00015","bare",0,2,"none"
"16","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00016","fuel",0,0.25,"low"
"17","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00017","bare",0,2.5,"none"
"18","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00018","grass",25,0.5,"low"
"19","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00019","fuel",0,0.25,"low"
"20","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00020","shrub",50,1.25,"high"
"21","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00021","bare",0,3.75,"none"
"22","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00022","shrub",75,0.5,"high"
"23","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00023","grass",25,1.25,"low"
"24","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00024","bare",0,1.5,"none"
"25","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00025","shrub",0,0.25,"low"
"26","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00026","fuel",0,3,"low"
"27","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00027","bare",0,0.5,"none"
"28","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00028","fuel",0,0.25,"low"
"29","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00029","shrub",25,0.25,"high"
"30","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00030","fuel",0,1.75,"low"
"31","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00031","shrub",25,1,"high"
"32","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00032","fuel",0,1.25,"low"
"33","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00033","grass",25,0.5,"low"
"34","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00034","fuel",0,0.5,"low"
"35","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00035","bare",0,0.5,"none"
"36","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00036","fuel",0,0.75,"low"
"37","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00037","shrub",25,2,"high"
"38","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00038","bare",0,4.75,"none"
"39","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00039","shrub",0,0.25,"low"
"40","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00040","bare",0,0.75,"none"
"41","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00041","grass",0,0.25,"low"
"42","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00042","bare",0,0.5,"none"
"43","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00043","shrub",50,0.25,"high"
"44","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00044","fuel",0,1.5,"low"
"45","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00045","shrub",25,0.5,"high"
"46","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00046","fuel",0,1.25,"low"
"47","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00047","shrub",0,0.5,"low"
"48","post","CG","C","G","E1","E1:CG","E1:CG:N","post:E1:CG:N:00048","fuel",0,0.5,"low"
